strategy_key,ADC strategy_id,Chenyiyun2087 strategy_id,PIT / 数据质量状态,OOS 状态,Walk-forward 状态,Portfolio 回测状态,账户级账本状态,影子盘状态,严格账本一致性状态,成本与容量状态,最大回撤与尾部风险状态,市场状态覆盖程度,可比性,当前允许阶段,首要风险
production_governed_vol_position,,production_governed_vol_position,FAIL_SNAPSHOT_NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,NOT_VERIFIABLE,CAPACITY_NOT_VERIFIABLE,TAIL_NOT_VERIFIABLE,NONE,NON_COMPARABLE,BLOCKED,执行与账本
tiered_liquidity_then_bs_v2,,tiered_liquidity_then_bs_v2,FAIL_SNAPSHOT_NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,HISTORICAL_ACCOUNT_BACKTEST_ONLY,HISTORICAL_SAVED_NON_REPRODUCIBLE_823D,NONE,NOT_VERIFIABLE,CAPACITY_ADV_IMPACT_NOT_VERIFIABLE,DD_-94.20%_762D_SINGLE_NAME_69.41%_INDUSTRY_80.90%,PARTIAL_2023_2026_NO_FORMAL_REGIMES,NON_COMPARABLE,BLOCKED,灾难性回撤
chenyiyun_selected,,chenyiyun_selected,FAIL_SNAPSHOT_NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,NOT_VERIFIABLE,CAPACITY_NOT_VERIFIABLE,TAIL_NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,证据缺失
repair_reversal_shadow,,repair_reversal_shadow,FAIL_SNAPSHOT_NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,SHADOW_LABEL_ONLY,NOT_VERIFIABLE,CAPACITY_NOT_VERIFIABLE,TAIL_NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,证据缺失
adaptive_vol_position_v1,adaptive_vol_position_v1,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,证据缺失
classic,classic,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,证据缺失
hybrid_conservative_v2,hybrid_conservative_v2,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,证据缺失
pullback_quality_v1,pullback_quality_v1,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,证据缺失
monitor_explain_v1,monitor_explain_v1,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,证据缺失
quant_selection_engine,quant_selection_engine,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
market_regime_gate,market_regime_gate,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
plate_enhanced_v3_env,plate_enhanced_v3_env,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
bs_signal_trigger,bs_signal_trigger,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
turtle_breakout,turtle_breakout,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
volume_breakout,volume_breakout,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
ma20_pullback,ma20_pullback,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
ma250_retest,ma250_retest,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
low_drawdown_uptrend,low_drawdown_uptrend,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
multi_indicator_resonance,multi_indicator_resonance,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
tech_score_ranker,tech_score_ranker,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
factor_alpha_ranker,factor_alpha_ranker,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
adaptive_vol_ranker,adaptive_vol_ranker,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
smart_money_resonance,smart_money_resonance,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
risk_veto_basic,risk_veto_basic,,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,COMPONENT_ONLY,NONE,NONE,NOT_VERIFIABLE,NOT_VERIFIABLE,NOT_VERIFIABLE,NONE,NON_COMPARABLE,RESEARCH_ONLY,无独立组合验证
